시간,종목코드,매수/매도,가격,수량,사유,수익률
2025-09-01 11:22:38,441270,매수,12300,27,"RSI:20.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:40,064260,매도,8900,37,RSI과매수,0.00%
2025-09-01 11:22:44,064260,매수,8890,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:46,441270,매도,12340,27,RSI과매수,0.33%
2025-09-01 11:22:46,484590,매수,18400,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:22:54,484590,매도,18380,18,RSI과매수,-0.11%
2025-09-01 11:22:54,484590,매수,18380,18,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:08,064260,매도,8880,37,RSI과매수,-0.11%
2025-09-01 11:23:10,441270,매수,12340,27,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:37,201490,매도,5830,57,RSI과매수,0.00%
2025-09-01 11:23:39,064260,매수,8890,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:47,064260,매도,8900,37,RSI과매수,0.11%
2025-09-01 11:23:48,054540,매수,9540,34,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:23:52,054540,매도,9540,34,RSI과매수,0.00%
2025-09-01 11:23:54,064260,매수,8910,37,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:04,064260,매도,8900,37,RSI과매수,-0.11%
2025-09-01 11:24:06,064260,매수,8900,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:11,484590,매도,18370,18,RSI과매수,-0.05%
2025-09-01 11:24:11,054540,매수,9530,34,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:14,064260,매도,8900,37,RSI과매수,0.00%
2025-09-01 11:24:15,484590,매수,18360,18,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:17,484590,매도,18370,18,RSI과매수,0.05%
2025-09-01 11:24:18,484590,매수,18390,18,"RSI:70.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:18,484590,매도,18400,18,RSI과매수,0.05%
2025-09-01 11:24:19,484590,매수,18400,18,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:20,054540,매도,9550,34,RSI과매수,0.21%
2025-09-01 11:24:20,097230,매수,21050,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:39,097230,매도,21100,15,RSI과매수,0.24%
2025-09-01 11:24:39,064260,매수,8910,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:42,064260,매도,8920,37,RSI과매수,0.11%
2025-09-01 11:24:43,484590,매도,18380,18,RSI과매수,-0.11%
2025-09-01 11:24:45,441270,매도,12330,27,RSI과매수,-0.08%
2025-09-01 11:24:46,064260,매수,8920,37,테스트매수-거래량급증(RSI:100.0),0.00%
2025-09-01 11:24:46,064260,매도,8920,37,RSI과매수,0.00%
2025-09-01 11:24:46,201490,매수,5840,57,테스트매수-거래량급증(RSI:66.7),0.00%
2025-09-01 11:24:54,484590,매수,18360,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:24:58,064260,매수,8930,37,"RSI:75.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:02,484590,매도,18360,18,RSI과매수,0.00%
2025-09-01 11:25:02,054540,매수,9480,35,"RSI:25.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:04,201490,매도,5840,57,RSI과매수,0.00%
2025-09-01 11:25:06,484590,매수,18370,18,"RSI:66.7, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:10,064260,매도,8935,37,RSI과매수,0.06%
2025-09-01 11:25:12,064260,매수,8940,37,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:23,064260,매도,8930,37,RSI과매수,-0.11%
2025-09-01 11:25:24,097230,매수,21050,15,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:46,054540,매도,9460,35,RSI과매수,-0.21%
2025-09-01 11:25:47,064260,매수,8940,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:57,064260,매도,8940,37,RSI과매수,0.00%
2025-09-01 11:25:58,441270,매수,12320,27,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:25:58,441270,매도,12350,27,RSI과매수,0.24%
2025-09-01 11:25:59,441270,매수,12360,26,"RSI:100.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:00,441270,매도,12370,26,RSI과매수,0.08%
2025-09-01 11:26:03,201490,매수,5940,56,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:16,484590,매도,18310,18,RSI과매수,-0.33%
2025-09-01 11:26:17,201490,매도,5960,56,RSI과매수,0.34%
2025-09-01 11:26:18,201490,매수,5970,55,"RSI:83.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:19,201490,매도,5960,55,RSI과매수,-0.17%
2025-09-01 11:26:20,054540,매수,9470,35,"RSI:60.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:20,441270,매수,12360,26,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:28,441270,매도,12390,26,RSI과매수,0.24%
2025-09-01 11:26:28,441270,매수,12390,26,"RSI:80.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:28,441270,매도,12400,26,RSI과매수,0.08%
2025-09-01 11:26:29,484590,매수,18290,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:32,054540,매도,9480,35,RSI과매수,0.11%
2025-09-01 11:26:32,201490,매수,5930,56,"RSI:20.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:44,097230,매도,21150,15,RSI과매수,0.48%
2025-09-01 11:26:46,064260,매수,8960,37,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:26:49,064260,매도,8960,37,RSI과매수,0.00%
2025-09-01 11:26:54,441270,매수,12350,26,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:27:13,484590,매도,18210,18,RSI과매수,-0.44%
2025-09-01 11:27:14,054540,매수,9470,35,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:28:02,441270,매도,12290,26,RSI과매수,-0.49%
2025-09-01 11:28:02,484590,매수,18290,18,"RSI:33.3, MA돌파, 거래량급증",0.00%
2025-09-01 11:28:06,484590,매도,18300,18,RSI과매수,0.05%
2025-09-01 11:28:07,097230,매수,21150,15,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:29:07,054540,매도,9500,35,RSI과매수,0.32%
2025-09-01 11:29:09,097230,매도,21150,15,RSI과매수,0.00%
2025-09-01 11:29:14,054540,매수,9500,35,"RSI:50.0, MA돌파, 거래량급증",0.00%
2025-09-01 11:29:16,064260,매수,8950,37,"RSI:33.3, MA돌파, 거래량급증",0.00%
